date_iso,date_human,title,company,location,apply,source,department
2025-09-25,"Sep 25, 2025","Territory Account Executive, Central South",block,"Lake Charles, LA, United States of America",http://block.xyz/careers/jobs/4933941008?gh_jid=4933941008,greenhouse,
2025-09-25,"Sep 25, 2025","Territory Account Executive, Boston",block,"Boston, MA, United States of America",http://block.xyz/careers/jobs/4933808008?gh_jid=4933808008,greenhouse,
2025-09-25,"Sep 25, 2025","Territory Account Executive, Birmingham",block,"Birmingham, AL, United States of America",http://block.xyz/careers/jobs/4798417008?gh_jid=4798417008,greenhouse,
2025-09-25,"Sep 25, 2025","Territory Account Executive, Atlanta",block,"Atlanta, GA, United States of America",http://block.xyz/careers/jobs/4933246008?gh_jid=4933246008,greenhouse,
2025-09-25,"Sep 25, 2025",Territory Account Executive - New York City,block,"New York, NY, United States of America",http://block.xyz/careers/jobs/4790979008?gh_jid=4790979008,greenhouse,
2025-09-25,"Sep 25, 2025","Territory Account Executive - Columbus, OH",block,"Columbus, OH, United States of America",http://block.xyz/careers/jobs/4933252008?gh_jid=4933252008,greenhouse,
2025-09-25,"Sep 25, 2025",Talent Business Partner,roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/7274378?gh_jid=7274378,greenhouse,
2025-09-25,"Sep 25, 2025",Strategic Sourcing Technology Sub Category Lead,block,"Bay Area, CA, United States of America",http://block.xyz/careers/jobs/4789570008?gh_jid=4789570008,greenhouse,
2025-09-25,"Sep 25, 2025",Strategic Sourcing Manager,block,"Sydney, Australia",http://block.xyz/careers/jobs/4881179008?gh_jid=4881179008,greenhouse,
2025-09-25,"Sep 25, 2025",Strategic Sourcing Manager,block,"Melbourne, Australia",http://block.xyz/careers/jobs/4881178008?gh_jid=4881178008,greenhouse,
2025-09-25,"Sep 25, 2025","Strategic SEO Manager, Japan",block,"Tokyo, Japan",http://block.xyz/careers/jobs/4898032008?gh_jid=4898032008,greenhouse,
2025-09-25,"Sep 25, 2025","Strategic Finance Manager, Japan",block,"Tokyo, Japan",http://block.xyz/careers/jobs/4825017008?gh_jid=4825017008,greenhouse,
2025-09-25,"Sep 25, 2025","Staff Technical Program Manager, Block Data & Platform",block,"Bay Area, CA, United States of America",http://block.xyz/careers/jobs/4885119008?gh_jid=4885119008,greenhouse,
2025-09-25,"Sep 25, 2025",Staff Software Engineer: Catalog Foundations,block,"Bay Area, CA, United States of America",http://block.xyz/careers/jobs/4866554008?gh_jid=4866554008,greenhouse,
2025-09-25,"Sep 25, 2025","Staff Software Engineer, Square for Franchises",block,"London, United Kingdom",http://block.xyz/careers/jobs/4914229008?gh_jid=4914229008,greenhouse,
2025-09-25,"Sep 25, 2025","Staff Software Engineer, Square for Franchises",block,"Dublin, Ireland",http://block.xyz/careers/jobs/4881427008?gh_jid=4881427008,greenhouse,
2025-09-25,"Sep 25, 2025","Staff Software Engineer, Square Enterprise",block,"New York, NY, United States of America",http://block.xyz/careers/jobs/4881436008?gh_jid=4881436008,greenhouse,
